time,open,high,low,close,tick_volume,spread,real_volume,pct_change,target
1988-03-18,1.1533,1.1549,1.1528,1.1536,391,50,0,-0.0073997590776113675,-1
1988-03-21,1.1562000000000001,1.1562000000000001,1.1562000000000001,1.1562000000000001,1,50,0,0.002253814147018085,1
1988-03-22,1.1552,1.1558,1.1545,1.1553,251,50,0,-0.0007784120394396243,-1
1988-03-23,1.1556,1.1562000000000001,1.1547,1.1555,291,50,0,0.00017311520817098192,1
1988-03-24,1.1636,1.1644,1.1614,1.1633,571,50,0,0.006750324534833485,1
1988-03-25,1.1666,1.1667,1.1658,1.1663000000000001,151,50,0,0.0025788704547409225,1
1988-03-28,1.1766,1.1776,1.1748,1.1767,551,50,0,0.008917088227728742,1
1988-03-29,1.176,1.1761,1.1755,1.176,121,50,0,-0.0005948839976205322,-1
1988-03-30,1.175,1.1756,1.1743999999999999,1.1749,231,50,0,-0.0009353741496597179,-1
1988-03-31,1.1809,1.181,1.1798,1.1808,231,50,0,0.005021703974806391,1
1988-04-01,1.1807,1.1812,1.1804999999999999,1.181,111,50,0,0.00016937669376693165,1
1988-04-04,1.1818,1.1824,1.1808,1.182,301,50,0,0.0008467400508043177,1
1988-04-05,1.1727,1.1753,1.1713,1.1728,791,50,0,-0.007783417935702142,-1
1988-04-06,1.1693,1.1709,1.1685,1.1692,471,50,0,-0.0030695770804911593,-1
1988-04-07,1.1639,1.1641,1.1635,1.1638,111,50,0,-0.004618542593226249,-1
1988-04-08,1.1688,1.1694,1.1679,1.1688,301,50,0,0.00429627083691364,1
1988-04-11,1.1598,1.1602999999999999,1.1596,1.1599,131,50,0,-0.007614647501711258,-1
1988-04-12,1.1594,1.1605,1.1586,1.1593,371,50,0,-0.0005172859729286605,-1
1988-04-13,1.1561,1.158,1.1548,1.1557,601,50,0,-0.003105322177175962,-1
1988-04-14,1.1743999999999999,1.1761,1.1708,1.1741,1031,50,0,0.01592108678722859,1
1988-04-15,1.1775,1.1775,1.1775,1.1775,1,50,0,0.002895835107742162,1
1988-04-18,1.1793,1.18,1.1782,1.1795,341,50,0,0.001698513800424628,1
1988-04-19,1.1748,1.176,1.1726,1.1752,641,50,0,-0.0036456125476896917,-1
1988-04-20,1.1758,1.1772,1.1755,1.1758,341,50,0,0.0005105513955070418,1
1988-04-21,1.175,1.1753,1.1747,1.175,121,50,0,-0.0006803878210579484,-1
1988-04-22,1.1697,1.1706,1.1694,1.1699,221,50,0,-0.004340425531914938,-1
1988-04-25,1.1666,1.1678,1.1657,1.1663999999999999,401,50,0,-0.0029917086930507653,-1
1988-04-26,1.1682,1.17,1.1676,1.1681,471,50,0,0.0014574759945129578,1
1988-04-27,1.1663999999999999,1.1675,1.1642000000000001,1.1667,631,50,0,-0.0011985275233283854,-1
1988-04-28,1.1716,1.1721,1.1706,1.1714,281,50,0,0.0040284563298191856,1
1988-04-29,1.1693,1.172,1.1678,1.1693,841,50,0,-0.0017927266518695806,-1
1988-05-02,1.166,1.1678,1.1649,1.1663000000000001,551,50,0,-0.0025656375609337534,-1
1988-05-03,1.1662,1.1663999999999999,1.1659,1.1661,91,50,0,-0.00017148246591802696,-1
1988-05-04,1.1639,1.1641,1.163,1.1639,221,50,0,-0.0018866306491723828,-1
1988-05-05,1.1656,1.1673,1.1648,1.1655,491,50,0,0.0013746885471261905,1
1988-05-06,1.1634,1.164,1.1629,1.1637,191,50,0,-0.001544401544401608,-1
1988-05-09,1.1633,1.164,1.163,1.1633,201,50,0,-0.00034373120219988174,-1
